,batting_team,bowling_team,city,current_score,pp,balls_left,wickets_left,crr,Top_Order,Middle_Order,Lower_Order,Tail,Pressure,Aggression_Mode,last_five,Death_Overs,runs_x
39313,West Indies,Australia,Barbados,140,0,29,4,9.23076923076923,0,0,0,1,0,0,27.0,1,160
15579,Sri Lanka,Pakistan,Lahore,68,0,78,10,9.714285714285714,1,0,0,0,0,1,50.0,0,165
43816,South Africa,Australia,Centurion,28,1,90,8,5.6,0,1,0,0,1,0,28.0,0,128
13180,New Zealand,England,Wellington,62,0,75,8,8.266666666666667,0,1,0,0,0,0,39.0,0,176
34640,New Zealand,South Africa,Hamilton,50,0,81,9,7.6923076923076925,1,0,0,0,0,0,38.0,0,173
18264,South Africa,Australia,Johannesburg,181,0,8,7,9.696428571428571,0,1,0,0,0,1,59.0,1,201
48456,New Zealand,Pakistan,Dubai,53,0,70,7,6.36,0,1,0,0,1,0,35.0,0,135
32110,Australia,England,Adelaide,115,0,30,7,7.666666666666667,0,1,0,0,0,0,27.0,0,157
47561,Pakistan,South Africa,Cape Town,61,0,61,8,6.203389830508475,0,1,0,0,1,0,36.0,0,176
46737,Sri Lanka,New Zealand,Chittagong,94,0,23,3,5.814432989690721,0,0,0,1,1,0,25.0,1,119
42287,India,Pakistan,Bangalore,36,1,86,10,6.352941176470588,1,0,0,0,1,0,34.0,0,133
25139,England,India,London,40,1,84,9,6.666666666666667,1,0,0,0,1,0,37.0,0,153
1458,West Indies,India,Lauderhill,188,0,37,9,13.590361445783133,1,0,0,0,0,1,67.0,0,245
30412,Australia,England,Barbados,140,0,5,5,7.304347826086956,0,0,1,0,0,1,50.0,1,147
4983,India,England,Cardiff,112,0,16,5,6.461538461538462,0,0,1,0,1,0,33.0,1,148
28779,South Africa,New Zealand,Barbados,134,0,17,7,7.805825242718447,0,1,0,0,0,1,53.0,1,170
48094,South Africa,West Indies,Johannesburg,179,0,28,6,11.673913043478262,0,0,1,0,0,1,52.0,1,231
10683,Pakistan,Australia,Dubai,141,0,9,6,7.621621621621622,0,0,1,0,0,0,43.0,1,150
40751,New Zealand,South Africa,Durban,33,0,78,6,4.714285714285714,0,0,1,0,1,0,24.0,0,86
38215,India,South Africa,Colombo,139,0,9,5,7.513513513513513,0,0,1,0,0,0,42.0,1,152
50543,South Africa,Australia,Johannesburg,60,1,85,9,10.285714285714286,1,0,0,0,0,1,52.0,0,204
16953,Pakistan,New Zealand,Hamilton,46,0,78,7,6.571428571428571,0,1,0,0,1,0,30.0,0,163
40389,New Zealand,England,London,80,0,68,9,9.23076923076923,1,0,0,0,0,0,43.0,0,201
36835,New Zealand,Sri Lanka,Pallekele,122,0,33,8,8.413793103448276,0,1,0,0,0,1,47.0,0,174
23344,Australia,South Africa,Melbourne,154,0,26,5,9.829787234042554,0,0,1,0,0,0,44.0,1,182
48436,New Zealand,Pakistan,Dubai,28,1,89,7,5.419354838709677,0,1,0,0,1,0,27.0,0,135
30819,Pakistan,Australia,Birmingham,47,0,75,7,6.266666666666667,0,1,0,0,1,0,28.0,0,167
51590,England,Pakistan,Manchester,104,0,32,6,7.090909090909091,0,0,1,0,0,0,31.0,0,135
8878,Australia,India,Brisbane,56,0,74,9,7.304347826086956,1,0,0,0,0,1,49.0,0,158
18841,West Indies,England,London,131,0,38,6,9.585365853658537,0,0,1,0,0,0,44.0,0,208
21579,India,Pakistan,Johannesburg,90,0,47,8,7.397260273972603,0,1,0,0,0,0,41.0,0,157
21205,India,South Africa,Durban,71,0,48,6,5.916666666666667,0,0,1,0,1,0,34.0,0,153
3488,Pakistan,West Indies,Trinidad,132,0,7,3,7.008849557522124,0,0,0,1,0,0,36.0,1,137
21573,India,Pakistan,Johannesburg,84,0,52,8,7.411764705882353,0,1,0,0,0,0,42.0,0,157
43437,England,West Indies,Barbados,64,0,56,7,6.0,0,1,0,0,1,0,35.0,0,152
23563,Australia,New Zealand,Sydney,78,0,52,7,6.882352941176471,0,1,0,0,1,0,29.0,0,150
44203,Sri Lanka,Pakistan,Dubai,56,0,77,10,7.813953488372093,1,0,0,0,0,0,35.0,0,211
37599,South Africa,Australia,Colombo,125,0,7,5,6.6371681415929205,0,0,1,0,1,0,39.0,1,146
36975,West Indies,England,Pallekele,150,0,17,7,8.737864077669903,0,1,0,0,0,0,35.0,1,179
28091,India,South Africa,St Lucia,32,1,86,8,5.647058823529412,0,1,0,0,1,0,27.0,0,186
18241,South Africa,Australia,Johannesburg,135,0,31,9,9.101123595505618,1,0,0,0,0,1,52.0,0,201
45464,Pakistan,Australia,Mirpur,135,0,35,7,9.529411764705882,0,1,0,0,0,1,63.0,0,191
50698,South Africa,Australia,Cape Town,89,0,55,8,8.215384615384615,0,1,0,0,0,0,21.0,0,178
6105,India,South Africa,Cape Town,172,0,0,3,8.52892561983471,0,0,0,1,0,1,46.0,1,172
7044,Sri Lanka,Bangladesh,Colombo,41,0,71,6,5.020408163265306,0,0,1,0,1,0,19.0,0,159
40887,Pakistan,South Africa,Centurion,110,0,55,9,10.153846153846153,1,0,0,0,0,1,62.0,0,195
52050,Pakistan,New Zealand,Hamilton,58,0,62,8,6.0,0,1,0,0,1,0,28.0,0,168
52770,South Africa,Sri Lanka,Cape Town,120,0,29,7,7.912087912087912,0,1,0,0,0,0,39.0,1,169
29515,Australia,Sri Lanka,Barbados,104,0,28,5,6.782608695652174,0,0,1,0,1,0,38.0,1,168
31140,Pakistan,England,Cardiff,120,0,5,6,6.260869565217392,0,0,1,0,1,0,35.0,1,126
27531,Australia,West Indies,Hobart,113,0,38,6,8.268292682926829,0,0,1,0,0,0,22.0,0,179
16317,Australia,India,Sydney,59,1,86,9,10.411764705882353,1,0,0,0,0,1,46.0,0,194
44611,England,India,Birmingham,93,0,42,6,7.153846153846154,0,0,1,0,0,0,34.0,0,180
3094,Pakistan,West Indies,Trinidad,87,0,27,5,5.612903225806452,0,0,1,0,1,0,36.0,1,132
23672,England,West Indies,Trinidad,66,0,66,7,7.333333333333333,0,1,0,0,0,0,38.0,0,121
33110,Pakistan,New Zealand,Christchurch,183,0,0,4,9.15,0,0,0,1,0,1,66.0,1,183
2983,West Indies,Pakistan,Barbados,85,0,17,3,4.951456310679611,0,0,0,1,1,0,29.0,1,111
10232,New Zealand,Sri Lanka,Auckland,33,1,83,6,5.351351351351352,0,0,1,0,1,0,22.0,0,179
32685,India,South Africa,Durban,86,0,53,8,7.701492537313433,0,1,0,0,0,0,28.0,0,168
42210,West Indies,Bangladesh,Mirpur,101,0,41,7,7.670886075949367,0,1,0,0,0,0,40.0,0,197
49499,England,South Africa,Johannesburg,157,0,20,5,9.42,0,0,1,0,0,1,68.0,1,171
